store_name,place,range_money,max_money,star_score_re,posi_nega_score_re,satisfy_score_re,insta_score_re,calm_score_re,service_score_re,picture_url,link_url
寅寅寅,天神,"￥4,000～￥4,999",5000,2.1,4.217332277,2.749166667,0.714285714,2,1.5,https://tblg.k-img.com/restaurant/images/Rvw/226009/640x640_rect_7d793e9b345fa66b0cbe881c4881d88a.jpg,https://tabelog.com/fukuoka/A4001/A400103/40034123/
博多魚がし 海の路,天神,"￥5,000～￥5,999",6000,2.05,2.572985256,1.703797468,0.714285714,1.253164557,0.753164557,https://tblg.k-img.com/restaurant/images/Rvw/266387/640x640_rect_c0eddc404de381d1f96cc29370b68399.jpg,https://tabelog.com/fukuoka/A4001/A400103/40030586/
元祖もつ鍋楽天地 天神本店,天神,"￥3,000～￥3,999",4000,2.05,2.856771373,1.727693603,0.858585859,1,0.803030303,https://tblg.k-img.com/restaurant/images/Rvw/269564/640x640_rect_97ef08b628444fbbe67f4737c8fe35c6.jpg,https://tabelog.com/fukuoka/A4001/A400103/40056554/
肉の山翔,天神,"￥5,000～￥5,999",6000,2.05,4.223141904,2.511666667,1.507936508,1.444444444,1.722222222,https://tblg.k-img.com/restaurant/images/Rvw/264551/640x640_rect_f0f514a7cdcbb22fe21c285adca0ffb3.jpg,https://tabelog.com/fukuoka/A4001/A400103/40064291/
焼売酒場 いしい,天神,"￥2,000～￥2,999",3000,2.05,4.286872266,2.224253731,1.993603412,1.149253731,0.947761194,https://tblg.k-img.com/restaurant/images/Rvw/254541/640x640_rect_3531fca96086dd5b5a0f6d103cc0030e.jpg,https://tabelog.com/fukuoka/A4001/A400103/40049350/
しみる 天神,天神,"￥4,000～￥4,999",5000,2.05,4.069389102,1.906979167,0.892857143,1.125,0.875,https://tblg.k-img.com/restaurant/images/Rvw/255223/640x640_rect_3489a1abc094202820f2bf99c5a3ac40.jpg,https://tabelog.com/fukuoka/A4001/A400103/40060063/
焼とりの八兵衛 天神店,天神,"￥4,000～￥4,999",5000,2,4.823866927,1.8125,0.897435897,1.384615385,0.884615385,https://tblg.k-img.com/restaurant/images/Rvw/215487/640x640_rect_5a100fdb2b8f7d60931a5ce98cf6891d.jpg,https://tabelog.com/fukuoka/A4001/A400103/40000440/
因幡うどん ソラリアステージ店,天神,～￥999,1000,2,3.565432366,1.794901961,0.714285714,1.176470588,0.5,https://tblg.k-img.com/restaurant/images/Rvw/269747/640x640_rect_d17bd3e7e6d19c2a6b81284dd965ae02.jpg,https://tabelog.com/fukuoka/A4001/A400103/40000690/
あご出汁餃子･ゆでタン さんじ,天神,"￥2,000～￥2,999",3000,2,4.210790085,1.897222222,0.714285714,1,0.644927536,https://tblg.k-img.com/restaurant/images/Rvw/270372/640x640_rect_65ef28fc56a20c91376e3ad5ebc46af9.jpg,https://tabelog.com/fukuoka/A4001/A400103/40049162/
まるひ屋,天神,"￥1,000～￥1,999",2000,2,2.887721403,2.842948718,0.714285714,1.230769231,0.807692308,https://tblg.k-img.com/restaurant/images/Rvw/24258/640x640_rect_24258220.jpg,https://tabelog.com/fukuoka/A4001/A400103/40036015/
